"refdes"	"footprint"	"value"	"mfr"	"mfr_PN"	"vendor"	"vendor_PN"	"price"	"documentation"
"J101"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J102"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J103"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J104"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J105"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J106"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J107"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J108"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J109"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J110"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J111"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J112"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J113"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J114"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J115"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J116"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J117"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J118"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J119"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J120"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J121"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J122"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J123"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J124"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J125"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J126"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J127"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J128"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J129"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J130"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J131"	"CON-HDR-254P-2C-1R-2N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744000	0.07	"unknown"
"J132"	"CON-SIL-254P-31N____.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	744018	0.82	"unknown"
"P101"	"CON-DIN41617-31P_Assmann_A-31-S1_DIN41617_male.fp"	"unknown"	"unknown"	"unknown"	"Conrad"	740560	1.73	"doc/740560.pdf"
"TP101"	"CON-TP_Keystone_5000_compact_red"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"	"unknown"
